               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
43,0.028481,0.013424,0.0025879,0.69573,0.71314,0.70568,0.48369,0.031438,0.0096388,0.015638,0.007921,0.007921,0.007921
44,0.02915,0.014105,0.0030783,0.78689,0.77784,0.8011,0.52452,0.030328,0.008908,0.00503,0.0078715,0.0078715,0.0078715
45,0.029296,0.013537,0.0025924,0.63388,0.67438,0.65357,0.44874,0.032379,0.009829,0.017802,0.007822,0.007822,0.007822
46,0.029201,0.013583,0.0022999,0.78526,0.70255,0.73936,0.51755,0.03141,0.0090112,0.011839,0.0077725,0.0077725,0.0077725
47,0.028263,0.01346,0.002837,0.76699,0.76618,0.72734,0.49418,0.03068,0.0092328,0.00967,0.007723,0.007723,0.007723
48,0.028386,0.013907,0.0031884,0.78138,0.72009,0.7493,0.52462,0.030912,0.0096798,0.0098358,0.0076735,0.0076735,0.0076735
49,0.028934,0.013559,0.0023504,0.76603,0.75294,0.75555,0.5095,0.030676,0.0094776,0.0089111,0.007624,0.007624,0.007624
50,0.028527,0.01323,0.002659,0.71047,0.74259,0.75472,0.51647,0.031132,0.0094477,0.0078999,0.0075745,0.0075745,0.0075745
51,0.029401,0.013799,0.002388,0.67653,0.79125,0.75302,0.50347,0.030361,0.0088367,0.0094136,0.007525,0.007525,0.007525
52,0.028013,0.012884,0.0021113,0.72891,0.67669,0.67913,0.4805,0.030954,0.009333,0.012278,0.0074755,0.0074755,0.0074755
53,0.027957,0.013082,0.0021448,0.77521,0.75522,0.74765,0.48577,0.030147,0.0090566,0.0064931,0.007426,0.007426,0.007426
54,0.028185,0.01271,0.0022545,0.69626,0.79596,0.71628,0.4946,0.030205,0.0094612,0.0063309,0.0073765,0.0073765,0.0073765
55,0.027277,0.012489,0.0022984,0.8838,0.66384,0.76263,0.52566,0.028148,0.0098511,0.0062267,0.007327,0.007327,0.007327
56,0.027852,0.013131,0.0021445,0.79058,0.73267,0.778,0.53952,0.031997,0.009503,0.010496,0.0072775,0.0072775,0.0072775
57,0.027136,0.013226,0.0024339,0.71232,0.72644,0.70284,0.48398,0.030293,0.0095407,0.0099428,0.007228,0.007228,0.007228
58,0.027686,0.012704,0.001926,0.78111,0.7359,0.75346,0.49984,0.03254,0.0099961,0.0053382,0.0071785,0.0071785,0.0071785
59,0.026795,0.01257,0.001935,0.66865,0.73311,0.70613,0.48796,0.031884,0.0093234,0.015449,0.007129,0.007129,0.007129
60,0.026648,0.01246,0.0023635,0.77244,0.79978,0.77189,0.54184,0.028874,0.0097246,0.0039068,0.0070795,0.0070795,0.0070795
61,0.027855,0.012884,0.0021748,0.67142,0.74492,0.74498,0.51763,0.030035,0.0089978,0.015141,0.00703,0.00703,0.00703
62,0.026468,0.012443,0.0019731,0.69356,0.78139,0.70219,0.49682,0.031425,0.01003,0.0091565,0.0069805,0.0069805,0.0069805
63,0.026293,0.012626,0.0025936,0.76494,0.72238,0.75377,0.50992,0.029874,0.0098279,0.0076256,0.006931,0.006931,0.006931
64,0.026297,0.012724,0.001815,0.62698,0.67165,0.65899,0.46685,0.029976,0.010233,0.015444,0.0068815,0.0068815,0.0068815
65,0.0258,0.012003,0.0017922,0.80419,0.76607,0.75186,0.5255,0.032458,0.0096912,0.0047553,0.006832,0.006832,0.006832
66,0.026611,0.012432,0.0023124,0.70219,0.74705,0.70927,0.4932,0.031032,0.010466,0.010213,0.0067825,0.0067825,0.0067825
67,0.026115,0.012286,0.0020497,0.79372,0.74664,0.76084,0.52016,0.029876,0.0098968,0.0078081,0.006733,0.006733,0.006733
68,0.025542,0.0121,0.0019035,0.70252,0.78754,0.72169,0.49003,0.031301,0.010053,0.0078124,0.0066835,0.0066835,0.0066835
69,0.02598,0.01217,0.0021371,0.64606,0.74681,0.67735,0.47585,0.030085,0.0094492,0.015807,0.006634,0.006634,0.006634
70,0.025628,0.012387,0.0018963,0.76194,0.71666,0.70763,0.47677,0.033766,0.0098728,0.0098463,0.0065845,0.0065845,0.0065845
71,0.025494,0.012133,0.0015517,0.7179,0.7252,0.72522,0.52125,0.029389,0.0093196,0.012166,0.006535,0.006535,0.006535
72,0.025782,0.012272,0.0018547,0.80057,0.80479,0.78275,0.53798,0.031975,0.0098833,0.0067747,0.0064855,0.0064855,0.0064855
73,0.025629,0.012048,0.0018573,0.77467,0.76802,0.73361,0.52545,0.031948,0.010102,0.0062824,0.006436,0.006436,0.006436
74,0.025194,0.01168,0.0016118,0.75842,0.71316,0.7229,0.50459,0.03031,0.010155,0.0054654,0.0063865,0.0063865,0.0063865
75,0.025561,0.0117,0.0015713,0.71699,0.74193,0.70536,0.48885,0.030417,0.0095224,0.0076043,0.006337,0.006337,0.006337
76,0.024661,0.01212,0.0019405,0.74025,0.72549,0.71943,0.50707,0.02901,0.0094139,0.0087568,0.0062875,0.0062875,0.0062875
77,0.024836,0.011624,0.0020322,0.76895,0.72355,0.71712,0.49503,0.031149,0.010174,0.010276,0.006238,0.006238,0.006238
78,0.024218,0.011861,0.0017181,0.74129,0.61931,0.69832,0.48741,0.030697,0.0097124,0.012033,0.0061885,0.0061885,0.0061885
79,0.024956,0.011756,0.0014382,0.71339,0.72688,0.66879,0.47167,0.031998,0.010112,0.014367,0.006139,0.006139,0.006139
80,0.025067,0.011793,0.0015597,0.68691,0.65255,0.67113,0.4731,0.029862,0.01048,0.020956,0.0060895,0.0060895,0.0060895
